Keys,Values
Tên TCPH:,"
Công ty cổ phần Tư vấn Xây dựng điện 1
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tư vấn Xây dựng điện 1
Mã chứng khoán:,TV1
Mã ISIN:,VN000000TV14
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 215/2010/GCNCP-VSD do VSD cấp lần đầu ngày 08/09/2010, Số 215/2010/GCNCP-VSD-4 cấp thay đổi lần thứ 4 ngày 18/07/2014"
Tổng số chứng khoán đăng ký:,26.691.319 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,266.913.190.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
