Keys,Values
Tên TCPH:,"
Công ty cố phần chứng khoán Thiên Việt
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Chứng khoán Thiên Việt
Mã chứng khoán:,TVS
Mã ISIN:,VN000000TVS2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 74/2014/GCNCP-VSD do VSD cấp lần đầu ngày 21/10/2014, số 74/2014/GCNCP-VSD-10 cấp thay đổi lần thứ 10 ngày 20/12/2021"
Tổng số chứng khoán đăng ký:,107.075.184 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.070.751.840.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
