Keys,Values
Tên TCPH:,"
Công ty cổ phần Đô thị và Môi trường Đắk Lắk
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đô thị và Môi trường Đắk Lắk
Mã chứng khoán:,UDL
Mã ISIN:,VN000000UDL3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 04-CPH/2019/GCNCP-VSD do VSD cấp ngày 22/05/2019, số 49/2019/GCNCP-VSD cấp lại ngày 23/10/2019"
Tổng số chứng khoán đăng ký:,6.620.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,66.200.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
