Keys,Values
Tên TCPH:,"
Công ty cổ phần Xây dựng số 15
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Xây dựng số 15
Mã chứng khoán:,V15
Mã ISIN:,VN000000V150
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 105/2009/GCNCP-VSD do VSD cấp lần đầu ngày 10/12/2009, Số 105/2009/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 16/03/2011"
Tổng số chứng khoán đăng ký:,10.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,100.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
