Keys,Values
Tên TCPH:,"
Ngân hàng Thương mại cổ phần Việt Á
"
Tên chứng khoán:,Cổ phiếu Ngân hàng Thương mại cổ phần Việt Á
Mã chứng khoán:,VAB
Mã ISIN:,VN000000VAB8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 13/2021/GCNCP-VSD do VSD cấp lần đầu ngày 30/03/2021; Số: 13/2021/GCNCP-VSD-2 cấp thay đổi lần 02 ngày 12/04/2022
Tổng số chứng khoán đăng ký:,539.960.043 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,5.399.600.430.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
