Keys,Values
Tên TCPH:,"
Công ty cổ phần Phân lân nung chảy Văn Điển
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Phân lân nung chảy Văn Điển
Mã chứng khoán:,VAF
Mã ISIN:,VN000000VAF9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 20/2015/GCNCP-VSD do VSD cấp ngày 10/04/2015, số 20/2015/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 05/09/2016"
Tổng số chứng khoán đăng ký:,37.665.348 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,376.653.480.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
