Keys,Values
Tên TCPH:,"
Ngân hàng Nông nghiệp và Phát triển nông thôn Việt Nam
"
Tên chứng khoán:,Trái phiếu phát hành ra công chúng năm 2021 của Agribank
Mã chứng khoán:,VBA121033
Mã ISIN:,VNVBA1210333
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,1.000.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số 12/2022/GCNTPDN-VSD do VSD cấp lần đầu ngày 05/04/2022
Tổng số chứng khoán đăng ký:,1.769.146 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,1.769.146.000.000 đồng
Hình thức phát hành:,Ghi sổ
Lãi suất:,"Lãi suất tham chiếu + Biên độ

·     Biên độ được xác định cụ thể như sau:

ü     Mức cộng biên độ hàng năm cho 05 năm đầu tiên là 1,0%/năm

ü     Mức cộng biên độ năm thứ 06 và năm thứ 07 mỗi năm là 1,2%/năm

·     Lãi suất tham chiếu: dùng để xác định lãi suất cho mỗi kỳ tính lãi là bình quân lãi suất tiền gửi tiết kiệm cá nhân bằng đồng Việt Nam, kỳ hạn 12 tháng trả lãi cuối kỳ (hoặc mức lãi suất của kỳ hạn tương đương) được công bố trên trang thông tin điện tử chính thức của 04 ngân hàng thương mại Việt nam bao gồm: Ngân hàng TMCP Công thương Việt Nam, Ngân hàng TMCP Đầu tư và Phát triển Việt Nam, Ngân hàng TMCP Ngoại thương Việt Nam và Ngân hàng Nông nghiệp và phát triển Nông thôn Việt Nam (mỗi ngân hàng này được gọi là Ngân hàng tham chiếu) tại ngày xác định lãi suất. Nếu không phải là số nguyên sẽ được làm tròn đến hai chữ số ở phần thập phân."
Cách thức trả lãi:,Lãi trái phiếu được thanh toán định kỳ vào mỗi ngày tròn 06 tháng từ ngày phát hành đến ngày đáo hạn (trừ trường hợp trái phiếu được mua lại trước hạn).
Kỳ hạn:,7 năm (ngày đáo hạn là ngày tròn 7 năm kể từ ngày phát hành)
Ngày phát hành:,31/12/2021
Ngày đáo hạn:,31/12/2028
Nơi quản lý tại VSD:,Trụ sở chính
