Keys,Values
Tên TCPH:,"
Ngân Hàng TMCP Ngoại Thương Việt Nam
"
Tên chứng khoán:,Cổ phiếu Ngân hàng TMCP Ngoại thương Việt Nam
Mã chứng khoán:,VCB
Mã ISIN:,VN000000VCB4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 026/2009/GCNCP-VSD do VSD cấp lần đầu ngày 11/06/2009, Số 026/2009/GCNCP-VSD-7 cấp thay đổi lần thứ 7 ngày 17/01/2019"
Tổng số chứng khoán đăng ký:,4.732.516.571 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,47.325.165.710.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
