Keys,Values
Tên TCPH:,"
Công ty cổ phần Nhân lực và Thương mại Vinaconex
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Nhân lực và Thương mại Vinaconex
Mã chứng khoán:,VCM
Mã ISIN:,VN000000VCM1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,số 112/2010/GCNCP-VSD do VSD cấp ngày 05/05/2010
Tổng số chứng khoán đăng ký:,3.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,30.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
