Keys,Values
Tên TCPH:,"
Công ty Cổ phần Dược phẩm Trung ương VIDIPHA
"
Tên chứng khoán:,Cổ phiếu CTCP Dược phẩm Trung ương VIDIPHA
Mã chứng khoán:,VDP
Mã ISIN:,VN000000VDP2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 10/2014/GCNCP-VSD do VSD cấp lần đầu ngày 20/02/2014, Số 10/2014/GCNCP-VSD-4 cấp thay đổi lần thứ 4 ngày 11/02/2022"
Tổng số chứng khoán đăng ký:,16.831.904 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,168.319.040.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
