Keys,Values
Tên TCPH:,"
Tập đoàn Điện lực Việt Nam
"
Tên chứng khoán:,Trái phiếu Tập đoàn Điện lực Việt Nam
Mã chứng khoán:,VE061101
Mã ISIN:,VN0VE0611014
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số 51/2007/GCNTP-TTLK do Trung tâm Lưu ký Chứng khoán cấp ngày 29/06/2007
Tổng số chứng khoán đăng ký:,18.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,1.800.000.000.000 đồng
Hình thức phát hành:,
Lãi suất:,9.5%/năm
Cách thức trả lãi:,"Trả sau, định kỳ hàng năm"
Kỳ hạn:,5 năm
Ngày phát hành:,20/07/2006
Ngày đáo hạn:,20/07/2011
Nơi quản lý tại VSD:,Trụ sở chính
