Keys,Values
Tên TCPH:,"
Công Ty Cổ Phần  Vinafco
"
Tên chứng khoán:,Cổ Phiếu CTCP VINAFCO
Mã chứng khoán:,VFC
Mã ISIN:,VN000000VFC5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 14/2006/GCNCP-CNTTLK do VSD cấp lần đầu ngày 17/07/2006, Số 14/2006/GCNCP-VSD-4 cấp thay đổi lần thứ 4 ngày 17/10/2011"
Tổng số chứng khoán đăng ký:,34.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,340.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
