Keys,Values
Tên TCPH:,"
Công ty cổ phần Quản Lý quỹ Đầu tư Dragon Capital Việt Nam
"
Tên chứng khoán:,Chứng chỉ Quỹ đầu tư chứng khoán Việt Nam
Mã chứng khoán:,VFMVF1
Mã ISIN:,VN000VFMVF11
Loại chứng khoán:,Chứng chỉ quỹ
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận đăng ký chứng chỉ quỹ:,50/2007/GCNCCQ-VSD do TTLK VN cấp ngày 18/07/2007
Tổng số chứng khoán đăng ký:,300.000.000 Chứng chỉ quỹ
Tổng giá trị chứng khoán đăng ký:,3.000.000.000.000 đồng
Hình thức đăng ký:,
Nơi quản lý tại VSD:,Chi nhánh
