Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Kinh doanh nhà Thành Đạt
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Kinh doanh nhà Thành Đạt
Mã chứng khoán:,VHH
Mã ISIN:,VN000000VHH0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 135/2010/GCNCP-VSD do VSD cấp lần đầu ngày 18/06/2010, Số 135/2010/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 04/11/2016"
Tổng số chứng khoán đăng ký:,7.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,75.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
