Keys,Values
Tên TCPH:,"
Tập đoàn Vingroup – Công ty CP
"
Tên chứng khoán:,Trái phiếu VIC122020
Mã chứng khoán:,VIC11901
Mã ISIN:,VN0VIC119012
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,Số:  20/2019/GCNTP-VSD do VSD cấp ngày 27/05/2019
Tổng số chứng khoán đăng ký:,10.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,1.000.000.000.000 đồng
Hình thức phát hành:,Trái phiếu được phát hành ra công chúng thông qua phương thức bảo lãnh phát hành theo hình thức cố gắng tối đa
Lãi suất:," Lãi suất kết hợp giữa lãi suất thả nổi và lãi suất cố định. Cụ thể:

+ Lãi suất đối với 02 kỳ tính lãi đầu tiên: 10%/năm;

+ Lãi suất cho mỗi kỳ tính lãi sau 02 kỳ tính lãi đầu tiên: Tổng của 4%/năm và lãi suất tham chiếu. Trong đó, lãi suất tham chiếu (do đại diện người sở hữu trái phiếu xác định) là trung bình cộng của các mức lãi suất tiền gửi tiết kiệm cá nhân (trả lãi sau) kỳ hạn 12 tháng (hoặc tương đương) bằng đồng Việt nam do Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (áp dụng tại Chi nhánh Sở Giao dịch 1), Ngân hàng TMCP Ngoại thương Việt Nam (áp dụng tại Sở Giao dịch), Ngân hàng TMCP Công thương Việt Nam (áp dụng tại Chi nhánh Hà Nội) và Ngân hàng TMCP Kỹ Thương Việt Nam (áp dụng tại Sở Giao dịch hoặc Chi nhánh đặt tại Hội sở chính) công bố vào hoặc vào khoảng 11:00 giờ sáng (giờ Việt Nam) ngày xác định lãi suất của Kỳ tính lãi đó. "
Cách thức trả lãi:, Chuyển khoản
Kỳ hạn:,24 tháng
Ngày phát hành:,25/03/2019
Ngày đáo hạn:,25/03/2021
Nơi quản lý tại VSD:,Trụ sở chính
