Keys,Values
Tên TCPH:,"
Công ty CP Đầu tư Phát triển Thương mại Viễn Đông
"
Tên chứng khoán:,Công ty CP Đầu tư Phát triển Thương mại Viễn Đông
Mã chứng khoán:,VID
Mã ISIN:,VN000000VID7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 68/2006/GCNCP-CNTTLK do TTLKCK Việt Nam cấp ngày 19/12/2006, Số:  68/2006/GCNCP-VSD-07 cấp thay đổi lần 7 ngày 26/07/2021"
Tổng số chứng khoán đăng ký:,35.510.789 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,355.107.890.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
