Keys,Values
Tên TCPH:,"
Công ty Cổ phần vận tải xăng dầu VIPCO
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần vận tải xăng dầu VIPCO
Mã chứng khoán:,VIP
Mã ISIN:,VN000000VIP1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 65/2006/GCNCP-CNTTLK do VSD cấp lần đầu ngày 15/12/2006, Số 65/2006/GCNCP-VSD-4 cấp thay đổi lần thứ 4 ngày 07/07/2016"
Tổng số chứng khoán đăng ký:,68.470.941 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,684.709.410.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
