Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán VnDirect
"
Tên chứng khoán:,Trái phiếu Công ty cổ phần Chứng khoán VNDIRECT
Mã chứng khoán:,VND122012
Mã ISIN:,VNVND1220125
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số: 09/2022/GCNTPDN-VSD do VSD cấp lần đầu ngày 01/04/2022
Tổng số chứng khoán đăng ký:,2.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,200.000.000.000 đồng
Hình thức phát hành:,Ghi sổ
Lãi suất:,cố định 8%/năm
Cách thức trả lãi:,Tiền lãi trái phiếu được thanh toán một lần vào ngày đáo hạn hoặc ngày đến hạn khác do tổ chức phát hành thực hiện mua lại trái phiếu trước hạn theo các điều kiện trái phiếu bằng cách chuyển khoản vào tài khoản được người sở hữu trái phiếu đăng ký trong sổ đăng ký.
Kỳ hạn:,01 năm kể từ ngày phát hành
Ngày phát hành:,07/03/2022
Ngày đáo hạn:,07/03/2023
Nơi quản lý tại VSD:,Trụ sở chính
