Keys,Values
Tên TCPH:,"
Công ty Cổ phần Ánh Dương Việt Nam
"
Tên chứng khoán:,Cổ phiếu công ty cổ phần Ánh Dương Việt Nam
Mã chứng khoán:,VNS
Mã ISIN:,VN000000VNS5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 34/2008/GCNCP-CNVSD do VSD cấp lần đầu ngày 14/03/2008, 97/2010/GCNTP/VSD-6 thay đổi lần thứ 6 ngày 10/07/2015"
Tổng số chứng khoán đăng ký:,67.859.192 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,678.591.920.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
