Keys,Values
Tên TCPH:,"
Công ty cổ phần Quảng cáo và Hội chợ Thương Mại Vinexad
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Quảng cáo và Hội chợ Thương Mại Vinexad
Mã chứng khoán:,VNX
Mã ISIN:,VN000000VNX5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 88/2009/GCNCP-VSD do VSD cấp lần đầu ngày 16/11/2009. Số 88/2009/GCNCP-VSD-1 do VSD cấp thay đổi lần thứ 1 ngày 11/12/2013
Tổng số chứng khoán đăng ký:,1.224.948 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,12.249.480.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
