Keys,Values
Tên TCPH:,"
Công ty cổ phần Phát triển Điện lực Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Phát triển Điện lực Việt Nam
Mã chứng khoán:,VPD
Mã ISIN:,VN000000VPD2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 21/2016/GCNCP-VSD do VSD cấp ngày 21/03/2016, Số: 21/2016/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 31/10/2018"
Tổng số chứng khoán đăng ký:,106.589.629 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.065.896.290.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
