Keys,Values
Tên TCPH:,"
Công ty cổ phần Vạn Phát Hưng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Vạn Phát Hưng
Mã chứng khoán:,VPH
Mã ISIN:,VN000000VPH3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 066/2009/GCNCP-CNVSD do VSD cấp lần đầu ngày 28/08/2009, Số:066/2009/GCNCP -VSD-12 cấp thay đổi lần 12 ngày 15/07/2019"
Tổng số chứng khoán đăng ký:,95.357.800 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,953.578.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
