Keys,Values
Tên TCPH:,"
Tổng Công ty Lương thực Miền Nam - Công ty cổ phần
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty Lương thực Miền Nam – Công ty cổ phần
Mã chứng khoán:,VSF
Mã ISIN:,VN000000VSF1
Loại chứng khoán:,Cổ phiếu phổ  thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số: 13CPH/2018/GCNCP-VSD do VSD cấp ngày 16/04/2018, số 21/2019/GCNCP-VSD cấp thay đổi ngày 14/05/2019"
Tổng số chứng khoán đăng ký:,500.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,5.000.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
