Keys,Values
Tên TCPH:,"
Tổng công ty Cổ phần Bưu chính Viettel
"
Tên chứng khoán:,Cổ phiếu Tổng công ty Cổ phần Bưu chính Viettel
Mã chứng khoán:,VTP
Mã ISIN:,VN000000VTP8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 30/2015/GCNCP-VSD do VSD cấp ngày 22/05/2015, số 30/2015/GCNCP-VSD-8 cấp thay đổi lần 8 ngày 09/07/2021"
Tổng số chứng khoán đăng ký:,103.558.492 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.035.584.920.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
