Keys,Values
Tên TCPH:,"
Tổng công ty cổ phần Xây dựng Công nghiệp Việt Nam
"
Tên chứng khoán:,Cổ phiếu Tổng công ty cổ phần Xây dựng Công nghiệp Việt Nam
Mã chứng khoán:,VVN
Mã ISIN:,VN000000VVN9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,154/2016/GCNCP-VSD do VSD cấp lần đầu ngày 25/11/2016
Tổng số chứng khoán đăng ký:,55.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,550.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
