Keys,Values
Tên TCPH:,"
Công ty cổ phần Bia Sài Gòn - Miền Tây
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Bia Sài Gòn - Miền Tây
Mã chứng khoán:,WSB
Mã ISIN:,VN000000WSB8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 164/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 12/07/2010
Tổng số chứng khoán đăng ký:,14.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,145.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
