Keys,Values
Tên TCPH:,"
Công ty cổ phần ACC-78
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần ACC-78
Mã chứng khoán:,X78
Mã ISIN:,VN000000X784
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,"Số 17/2014/GCNCP-VSD do VSD cấp lần đầu ngày 11/03/2014, Số 17/2014/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 15/07/2016"
Tổng số chứng khoán đăng ký:,1.512.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,15.120.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
