STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,40.700.000,407.000.000.000,41/2015/GCNCP-VSD,16/06/2015
2,Điều chỉnh lần 1,Đăng ký bổ sung,64.305.760,643.057.600.000,số 41/2015/GCNCP-CNVSD-1,25/07/2016
3,Điều chỉnh lần 2,Đăng ký bổ sung,3.000.000,30.000.000.000,số 41/2015/GCNCP-VSD-2,04/01/2017
4,Điều chỉnh lần 3,Đăng ký bổ sung,28.000.000,280.000.000.000,số 41/2015/GCNCP-VSD-3,23/09/2020
5,Điều chỉnh lần 4,Đăng ký bổ sung,67.462.380,674.623.800.000,41/2015/GCNCP-VSD- 4,06/04/2021
6,Điều chỉnh lần 5,Đăng ký bổ sung,4.069.034,40.690.340.000,41/2015/GCNCP-VSD- 5,13/07/2021
7,Điều chỉnh lần 6,Đăng ký bổ sung,90.000.000,900.000.000.000,41/2015/GCNCP-VSD- 6,08/09/2021
8,Điều chỉnh lần 7,Đăng ký bổ sung,148.768.263,1.487.682.630.000,số 41/2015/GCNCP-VSD-7,26/01/2022
9,Điều chỉnh lần 8,Đăng ký bổ sung,57.000.000,570.000.000.000,41/2015/GCNCP-VSD-8,04/05/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,503.305.437,5.033.054.370.000,,
