STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,23.800.000,238.000.000.000,Số 83/2014/GCNCP-VSD do VSD cấp ngày 01/12/2014,01/12/2014
2,Điều chỉnh lần 1,Đăng ký bổ sung,3.569.565,35.695.650.000,83/2014/GCNCP-VSD-1,15/05/2015
3,Điều chỉnh lần 2,Đăng ký bổ sung,3.283.525,32.835.250.000,83/2014/GCNCP-VSD-2,19/11/2015
4,Điều chỉnh lần 3,Đăng ký bổ sung,7.597.994,75.979.940.000,83/2014/GCNCP-VSD-3,05/05/2016
5,Điều chỉnh lần 4,Đăng ký bổ sung,4.588.950,45.889.500.000,số 83/2014/GCNCP-VSD-4,01/12/2016
6,Điều chỉnh lần 5,Đăng ký bổ sung,4.283.307,42.833.070.000,83/2014/GCNCP-VSD-5,21/07/2017
7,Điều chỉnh lần 6,Thay đổi tên TCPH,0,0,83/2017/GCNCP-VSD-6,27/07/2018
8,Điều chỉnh lần 7,Đăng ký bổ sung,4.711.702,47.117.020.000,số 83/2014/GCNCP-VSD-7,02/01/2019
9,Điều chỉnh lần 8,Đăng ký bổ sung,8.862.466,88.624.660.000,số 83/2014/GCNCP-VSD-8,08/10/2019
10,Điều chỉnh lần 9,Đăng ký bổ sung,9.710.616,97.106.160.000,số 83/2014/GCNCP-VSD-9,03/09/2020
11,Điều chỉnh lần 10,Đăng ký bổ sung,1.373.703,13.737.030.000,số 83/2014/GCNCP-VSD-10,15/12/2020
12,Điều chỉnh lần 11,Đăng ký bổ sung,21.142.045,211.420.450.000,83/2014/GCNCP-VSD-11,15/07/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,92.923.873,929.238.730.000,,
