STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,8.100.000,81.000.000.000,49/2008/GCNCP-CNTTLK,30/05/2008
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.619.308,16.193.080.000,112/208/GCNCP-CNTTLK,03/12/2008
3,Điều chỉnh lần 2,Đăng ký bổ sung,194.384,1.943.840.000,101/2010/GCNCP-CNVSD,06/07/2010
4,Điều chỉnh lần 3,Đăng ký bổ sung,145.788,1.457.880.000,101/2010/GCNCP-VSD-3,11/06/2015
5,Điều chỉnh lần 4,Đăng ký bổ sung,10.059.480,100.594.800.000,101/2010/GCNCP-VSD-4,01/10/2015
6,Điều chỉnh lần 5,Đăng ký bổ sung,20.118.960,201.189.600.000,Số 101/2010/GCNCP-VSD-5,12/05/2016
7,Điều chỉnh lần 6,Đăng ký bổ sung,16.094.904,160.949.040.000,số 49/2008/GCNCP-VSD-6,24/08/2016
8,Điều chỉnh lần 7,Đăng ký bổ sung,500.000,5.000.000.000,số 49/2008/GCNCP-VSD-7,17/11/2017
9,Điều chỉnh lần 8,Đăng ký bổ sung,2.000.000,20.000.000.000,49/2008/GCNCP-VSD-8,23/09/2021
10,Điều chỉnh lần 9,Đăng ký bổ sung,14.208.206,142.082.060.000,49/2008/GCNCP-VSD-9,31/03/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,73.041.030,730.410.300.000,,
