STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,29.100.000,291.000.000.000,132/2010/GCNCP-VSD,11/06/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.909.827,29.098.270.000,132/2010/GCNCP-VSD-1,28/04/2011
3,Điều chỉnh lần 2,Đăng ký bổ sung,3.200.881,32.008.810.000,132/2010/GCNCP-VSD-2,22/11/2011
4,Điều chỉnh lần 3,Đăng ký bổ sung,31.874.400,318.744.000.000,132/2010/GCNCP-VSD-3,21/09/2012
5,Điều chỉnh lần 4,Đăng ký bổ sung,2.659.790,26.597.900.000,132/2010/GCNCP-VSD-4,14/11/2013
6,Điều chỉnh lần 5,Đăng ký bổ sung,79.508.610,795.086.100.000,132/2010/GCNCP-VSD-5,20/10/2014
7,Điều chỉnh lần 6,Đăng ký bổ sung,19.932.609,199.326.090.000,132/2010/GCNCP-VSD-6,20/08/2015
8,Điều chỉnh lần 7,Đăng ký bổ sung,50.000.000,500.000.000.000,số 132/2010/GCNCP-VSD-7,03/06/2016
9,Điều chỉnh lần 8,Đăng ký bổ sung,10.958.225,109.582.250.000,số 132/2010/GCNCP-VSD-8,10/01/2017
10,Điều chỉnh lần 9,Đăng ký bổ sung,54.913.473,549.134.730.000,số 132/2010/GCNCP-VSD-9,28/02/2017
11,Điều chỉnh lần 10,Đăng ký bổ sung,14.251.905,142.519.050.000,số 132/2010/GCNCP-VSD-10,05/11/2018
Tổng cộng:,Tổng cộng:,Tổng cộng:,299.309.720,2.993.097.200.000,,
