STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.650.000,16.500.000.000,38/GCN/TTGD-LK,27/12/2001
2,Điều chỉnh lần 1,Đăng ký bổ sung,50.000,500.000.000,20/GCN/TTGD-LK,22/05/2002
3,Điều chỉnh lần 3,Đăng ký bổ sung,2.000.000,20.000.000.000,20/GCN/TTGD-LK,22/05/2002
4,Điều chỉnh lần 2,Đăng ký bổ sung,850.000,8.500.000.000,01/GCN/TTGD-LK,20/02/2003
5,Điều chỉnh lần 4,Đăng ký bổ sung,5.669.818,56.698.180.000,83/2007/GCNCP-TTLK,01/10/2007
6,Điều chỉnh lần 5,Đăng ký bổ sung,2.554.770,25.547.700.000,90/2010/GCNCP-CNVSD,21/06/2010
7,Điều chỉnh lần 6,Đăng ký bổ sung,550.000,5.500.000.000,90/2010/GCNCP-VSD-6,13/03/2012
8,Điều chỉnh lần 7,Đăng ký bổ sung,600.000,6.000.000.000,90/2010/GCNCP-VSD-7,11/10/2012
9,Điều chỉnh lần 8,Đăng ký bổ sung,5.151.237,51.512.370.000,số 38/2001/GCNCP-VSD-8,12/10/2018
10,Điều chỉnh lần 9,Đăng ký bổ sung,4.004.976,40.049.760.000,số 38/2011/GCNCP-VSD-9,08/07/2019
11,Điều chỉnh lần 10,Đăng ký bổ sung,919.199,9.191.990.000,số 38/2001/GCNCP-VSD-10,12/09/2019
12,Điều chỉnh lần 11,Đăng ký bổ sung,12.000.000,120.000.000.000,38/2001/GCNCP-VSD-11,17/07/2020
13,Điều chỉnh lần 12,Đăng ký bổ sung,7.200.000,72.000.000.000,38/2001/GCNCP-VSD-12,24/09/2021
14,Điều chỉnh lần 13,Đăng ký bổ sung,16.800.000,168.000.000.000,38/2001/GCNCP-VSD-13,20/05/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,60.000.000,600.000.000.000,,
