STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.639.990,56.399.900.000,62/2006/GCNCP-CNTTLK,19/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,4.360.010,43.600.100.000,80/2007/GCNCP-CNTTLK,20/09/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,3.500.000,35.000.000.000,135/2007/GCNCP-CNTTLK,03/01/2008
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.619.540,16.195.400.000,81/2008/GCNCP-CNTTLK,15/08/2008
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.611.463,16.114.630.000,62/2006/GCNCP-VSD-4,17/09/2010
6,Điều chỉnh lần 5,Đăng ký bổ sung,4.057.163,40.571.630.000,62/2006/GCNCP-VSD-5,21/03/2011
7,Điều chỉnh lần 6,Đăng ký bổ sung,154.370,1.543.700.000,62/2006/GCNCP-VSD-6,27/04/2012
8,Điều chỉnh lần 7,Đăng ký bổ sung,20.363.598,203.635.980.000,62/2006/GCNCP-VSD-7,18/07/2012
9,Điều chỉnh lần 8,Đăng ký bổ sung,274.530,2.745.300.000,62/2006/GCNCP-VSD-8,22/03/2013
10,Điều chỉnh lần 9,Đăng ký bổ sung,10.000.000,100.000.000.000,62/2006/GCNCP-VSD-9,26/04/2013
11,Điều chỉnh lần 10,Đăng ký bổ sung,294.830,2.948.300.000,62/2006/GCNCP-VSD-10,22/11/2013
12,Điều chỉnh lần 11,Đăng ký bổ sung,4.789.483,47.894.830.000,62/2006/GCNCP-VSD-11,10/09/2014
13,Điều chỉnh lần 12,Đăng ký bổ sung,703.590,7.035.900.000,62/2006/GCNCP-VSD-12,19/11/2014
14,Điều chỉnh lần 13,Đăng ký bổ sung,17.209.440,172.094.400.000,62/2006/GCNCP-VSD-13,17/08/2015
15,Điều chỉnh lần 14,Đăng ký bổ sung,981.830,9.818.300.000,62/2006/GCNCP-VSD-14,13/11/2015
16,Điều chỉnh lần 15,Đăng ký bổ sung,18.887.630,188.876.300.000,số 62/2006/GCNCP-VSD-15,18/07/2016
17,Điều chỉnh lần 16,Đăng ký bổ sung,998.990,9.989.900.000,62/2006/GCNCP-VSD-16,29/12/2016
18,Điều chỉnh lần 17,Thay đổi tên TCPH,0,0,62/2006/GCNCP-VSD-17,23/06/2017
19,Điều chỉnh lần 18,Đăng ký bổ sung,33.404.300,334.043.000.000,62/2006/GCNCP-VSD-18,27/07/2017
20,Điều chỉnh lần 19,Đăng ký bổ sung,1.000.000,10.000.000.000,số 62/2006/GCNCP-VSD-19,26/10/2017
21,Điều chỉnh lần 20,Đăng ký bổ sung,64.924.220,649.242.200.000,số 62/2006/GCNCP-VSD-20,14/06/2018
22,Điều chỉnh lần 21,Đăng ký bổ sung,1.300.000,13.000.000.000,số 62/2006/GCNCP-VSD-21,25/12/2018
23,Điều chỉnh lần 22,Đăng ký bổ sung,9.800.421,98.004.210.000,số 62/2006/GCNCP-VSD-22,12/06/2019
24,Điều chỉnh lần 23,Đăng ký bổ sung,25.000.000,250.000.000.000,số 62/2006/GCNCP-VSD-23,24/06/2019
25,Điều chỉnh lần 24,Đăng ký bổ sung,11.540.386,115.403.860.000,62/2006/GCNCP-VSD-24,03/11/2021
26,Điều chỉnh lần 25,Đăng ký bổ sung,3.238.570,32.385.700.000,62/2006/GCNCP-VSD-25,10/02/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,245.654.354,2.456.543.540.000,,
