STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,2.880.000,28.800.000.000,49/2011/GCNCP-VSD,30/06/2011
2,Điều chỉnh lần 1,Đăng ký bổ sung,568.000,5.680.000.000,49/2011/GCNCP-VSD-1,26/08/2015
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.552.000,15.520.000.000,số 49/2011/GCNCP-VSD-2,29/08/2016
4,Điều chỉnh lần 3,Đăng ký bổ sung,2.499.690,24.996.900.000,49/2011/GCNCP-VSD-3,28/08/2017
5,Điều chỉnh lần 4,Đăng ký bổ sung,7.499.490,74.994.900.000,số 49/2011/GCNCP-VSD-4,24/05/2018
6,Điều chỉnh lần 5,Đăng ký bổ sung,1.802.688,18.026.880.000,số 49/2011/GCNCP-VSD-5,04/07/2019
7,Điều chỉnh lần 6,Đăng ký bổ sung,1.680.062,16.800.620.000,số 49/2011/GCNCP-VSD-6,23/09/2019
8,Điều chỉnh lần 7,Đăng ký bổ sung,5.913.637,59.136.370.000,số 49/2011/GCNCP-VSD-7,01/09/2020
9,Điều chỉnh lần 8,Đăng ký bổ sung,2.439.274,24.392.740.000,49/2011/GCNCP-VSD-8,05/08/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,26.834.841,268.348.410.000,,
