STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,9.210.000,92.100.000.000,68/2010/GCNCP-CNVSD,06/05/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,905.932,9.059.320.000,68/2010/GCNCP-CNVSD/1,09/09/2011
3,Điều chỉnh lần 2,Đăng ký bổ sung,450.000,4.500.000.000,68/2010/GCNCP-VSD-2,30/09/2013
4,Điều chỉnh lần 3,Đăng ký bổ sung,2.557.481,25.574.810.000,68/2010/GCNCP-VSD-3,13/08/2014
5,Điều chỉnh lần 4,Đăng ký bổ sung,2.000.000,20.000.000.000,68/2010/GCNCP-VSD-4,19/06/2015
6,Điều chỉnh lần 5,Đăng ký bổ sung,740.000,7.400.000.000,68/2010/GCNCP-VSD-5,09/09/2016
7,Điều chỉnh lần 6,Đăng ký bổ sung,3.557.400,35.574.000.000,số 68/2010/GCNCP-VSD-6,01/11/2016
8,Điều chỉnh lần 7,Đăng ký bổ sung,3.828.187,38.281.870.000,số 68/2010/GCNCP-VSD-7,02/05/2019
9,Điều chỉnh lần 8,Đăng ký bổ sung,2.296.867,22.968.670.000,68/2010/GCNCP-VSD-8,09/07/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,25.545.867,255.458.670.000,,
