STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,3.000.000,30.000.000.000,56/2006/GCNCP-CNTTLK,11/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,600.000,6.000.000.000,118/2007/GCNCP-CNTTLK,30/11/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.165.950,21.659.500.000,55/2008/GCNCP-CNTTLK,12/06/2008
4,Điều chỉnh lần 3,Đăng ký bổ sung,2.248.211,22.482.110.000,085/2009/GCNCP-CNVSD,14/10/2009
5,Điều chỉnh lần 4,Đăng ký bổ sung,242.000,2.420.000.000,56/2006/GCNCP-VSD-4,04/11/2011
6,Điều chỉnh lần 5,Đăng ký bổ sung,1.773.677,17.736.770.000,56/2006/GCNCP-VSD-5,04/04/2013
7,Điều chỉnh lần 6,Đăng ký bổ sung,5.265.162,52.651.620.000,56/2006/GCNCP-VSD-6,04/07/2014
8,Điều chỉnh lần 7,Đăng ký bổ sung,2.291.988,22.919.880.000,số 56/2006/GCNCP-VSD-7,16/11/2018
9,Điều chỉnh lần 8,Thay đổi tên TCPH,0,0,56/2006/GCNCP-VSD-8,29/01/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,17.586.988,175.869.880.000,,
