STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,30.000.000,300.000.000.000,120/2008/GCN-CNTTLK,25/12/2008
2,Điều chỉnh lần 1,Đăng ký bổ sung,9.999.921,99.999.210.000,86/2009/GCNCP-CNVSD,12/10/2009
3,Điều chỉnh lần 2,Đăng ký bổ sung,19.999.221,199.992.210.000,114/2010/GCNCP-CNVSD,09/08/2010
4,Điều chỉnh lần 3,Đăng ký bổ sung,11.998.693,119.986.930.000,120/2008/GCNCP-CNVSD-3,27/09/2012
5,Điều chỉnh lần 4,Đăng ký bổ sung,3.599.200,35.992.000.000,120/2008/GCNCP-CNVSD-4,18/12/2013
6,Điều chỉnh lần 5,Đăng ký bổ sung,22.677.542,226.775.420.000,120/2008/GCNCP-VSD-5,13/07/2015
7,Điều chỉnh lần 6,Đăng ký bổ sung,9.827.457,98.274.570.000,120/2008/GCNCP-VSD-6,02/08/2017
8,Điều chỉnh lần 7,Đăng ký bổ sung,54.037.290,540.372.900.000,số 120/2008/GCNCP-VSD-7,04/07/2018
9,Điều chỉnh lần 8,Đăng ký bổ sung,4.863.658,48.636.580.000,số 120/2008/GCNCP-VSD-8,14/12/2018
10,Điều chỉnh lần 9,Đăng ký bổ sung,55.664.978,556.649.780.000,số 120/2008/GCNCP-VSD-9,26/06/2019
11,Điều chỉnh lần 10,Đăng ký bổ sung,2.625.625,26.256.250.000,số 120/2008/GCNCP-VSD-10,07/01/2020
12,Điều chỉnh lần 11,Đăng ký bổ sung,2.318.777,23.187.770.000,số 120/2008/GCNCP-VSD-11,14/01/2021
13,Điều chỉnh lần 12,Đăng ký bổ sung,15.000.000,150.000.000.000,120/2008/GCNCP-VSD-12,14/04/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,242.612.362,2.426.123.620.000,,
