STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,500.000,5.000.000.000,51/2006/GCNCP-TTLK,19/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.000.000,10.000.000.000,51/2006/GCNCP-TTLK-1,13/11/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,1.473.970,14.739.700.000,51/2006/GCNCP-TTLK-2,10/07/2008
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.473.970,14.739.700.000,51/2006/GCNCP-TTLK-3,23/06/2009
5,Điều chỉnh lần 4,Đăng ký bổ sung,3.552.060,35.520.600.000,51/2006/GCNCP-VSD-4,08/07/2010
6,Điều chỉnh lần 5,Đăng ký bổ sung,1.998.960,19.989.960.000,51/2006/GCNCP-VSD-5,11/02/2011
7,Điều chỉnh lần 6,Đăng ký bổ sung,2.497.969,24.979.690.000,51/2006/GCNCP-VSD-6,01/08/2012
8,Điều chỉnh lần 7,Đăng ký bổ sung,24.503.071,245.030.710.000,51/2006/GCNCP-VSD-7,13/05/2015
9,Điều chỉnh lần 8,Thay đổi tên TCPH,0,0,số 51/2006/GCNCP-VSD-8,22/03/2016
10,Điều chỉnh lần 9,Đăng ký bổ sung,1.849.139,18.491.390.000,số 51/2006/GCNCP-VSD-9,22/09/2016
11,Điều chỉnh lần 10,Đăng ký bổ sung,1.941.575,19.415.750.000,số 51/2006/GCNCP-VSD-10,29/11/2018
12,Điều chỉnh lần 11,Đăng ký bổ sung,2.038.563,20.385.630.000,51/2006/GCNCP-VSD-11,29/07/2019
13,Điều chỉnh lần 12,Đăng ký bổ sung,9.597.446,95.974.460.000,số 51/2006/GCNCP-VSD-12,11/05/2020
Tổng cộng:,Tổng cộng:,Tổng cộng:,52.426.723,524.267.230.000,,
