STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,44.824.172,448.241.720.000,23/2008/GCNCP-CNTTLK,14/02/2008
2,Điều chỉnh lần 1,Đăng ký bổ sung,97.101.628,971.016.280.000,23/2008/GCNCP-CNVSD-1,12/11/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,6.574.200,65.742.000.000,23/2008/GCNCP-CNVSD-2,07/08/2013
4,Cấp lần đầu,Thay đổi tên TCPH,0,0,23/2008/GCNCP-CNVSD-3,23/12/2013
5,Điều chỉnh lần 3,Đăng ký bổ sung,37.142.358,371.423.580.000,23/2008/GCNCP-VSD-3,10/11/2015
6,Điều chỉnh lần 4,Đăng ký bổ sung,9.118.675,91.186.750.000,số 23/2008/GCNCP-VSD-4,21/07/2016
7,Điều chỉnh lần 5,Đăng ký bổ sung,58.427.235,584.272.350.000,số 23/2008/GCNCP-VSD-5,10/11/2016
8,Điều chỉnh lần 6,Đăng ký bổ sung,303.830.405,3.038.304.050.000,23/2008/GCNCP-VSD-6,06/10/2017
9,Điều chỉnh lần 7,Thay đổi tên TCPH,0,0,số 23/2008/GCNCP-VSD-7,05/12/2017
10,Điều chỉnh lần 8,Đăng ký bổ sung,29.721.879,297.218.790.000,23/2008/GCNCP-VSD-8,19/02/2019
11,Điều chỉnh lần 9,Đăng ký bổ sung,21.611.333,216.113.330.000,số 23/2008/GCNCP-VSD-9,30/09/2019
12,Điều chỉnh lần 10,Đăng ký bổ sung,30.417.595,304.175.950.000,số 23/2008/GCNCP-VSD-10,07/01/2021
13,Điều chỉnh lần 11,Đăng ký bổ sung,11.992.748,119.927.480.000,23/2008/GCNCP-VSD-11,14/09/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,650.762.228,6.507.622.280.000,,
