STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,100.000.000,1.000.000.000.000,260/2010/GCNCP-VSD,29/10/2010
2,Điều chỉnh lần 1,Đăng ký bổ sung,30.000.000,300.000.000.000,260/2010/GCNCP-VSD-1,24/07/2012
3,Điều chỉnh lần 2,Đăng ký bổ sung,12.999.861,129.998.610.000,260/2010/GCNCP-VSD-2,29/08/2012
4,Điều chỉnh lần 3,Đăng ký bổ sung,7.149.030,71.490.300.000,260/2010/GCNCP-VSD-3,23/07/2013
5,Điều chỉnh lần 4,Đăng ký bổ sung,37.537.154,375.371.540.000,260/2010/GCNCP-VSD-4,04/05/2015
6,Điều chỉnh lần 5,Đăng ký bổ sung,9.382.222,93.822.220.000,260/2010/GCNCP-VSD-5,31/08/2015
7,Điều chỉnh lần 6,Đăng ký bổ sung,20.000.867,200.008.670.000,260/2010/GCNCP-VSD-6,20/10/2015
8,Điều chỉnh lần 7,Đăng ký bổ sung,10.851.486,108.514.860.000,số 260/2010/GCNCP-VSD-7,12/01/2017
9,Điều chỉnh lần 8,Đăng ký bổ sung,15.951.804,159.518.040.000,số 260/2010/GCNCP-VSD-8,08/11/2017
10,Điều chỉnh lần 9,Đăng ký bổ sung,73.161.370,731.613.700.000,số 260/2010/GCNCP-VSD-9,14/06/2018
11,Điều chỉnh lần 10,Đăng ký bổ sung,22.188.881,221.888.810.000,số 260/2010/GCNCP-VSD-10,16/11/2018
12,Điều chỉnh lần 11,Đăng ký bổ sung,27.133.628,271.336.280.000,số 260/2010/GCNCP-VSD-11,22/01/2020
Tổng cộng:,Tổng cộng:,Tổng cộng:,366.356.303,3.663.563.030.000,,
