STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,2.300.000,23.000.000.000,58/2006/GCNCP-TTLK,21/12/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.849.200,18.492.000.000,58/2006/GCNCP-TTLK-1,13/11/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,328.500,3.285.000.000,58/2006/GCNCP-TTLK-2,04/12/2007
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.522.300,15.223.000.000,58/2006/GCNCP-TTLK-3,06/03/2008
5,Điều chỉnh lần 4,Đăng ký bổ sung,4.300.000,43.000.000.000,58/2006/GCNCP-VSD-4,08/11/2010
6,Điều chỉnh lần 5,Đăng ký bổ sung,7.209.824,72.098.240.000,58/2006/GCNCP-VSD-5,01/07/2011
7,Điều chỉnh lần 6,Đăng ký bổ sung,1.713.887,17.138.870.000,58/2006/GCNCP-VSD-6,24/08/2012
8,Điều chỉnh lần 7,Đăng ký bổ sung,11.600.000,116.000.000.000,58/2006/GCNCP-VSD-7,24/01/2014
9,Điều chỉnh lần 8,Đăng ký bổ sung,3.947.900,39.479.000.000,58/2006/GCNCP-VSD-8,16/05/2014
Tổng cộng:,Tổng cộng:,Tổng cộng:,34.771.611,347.716.110.000,,
