STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,6.000.000,60.000.000.000,33/2006/GCNCP-CNTTLK,17/10/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,1.499.937,14.999.370.000,29/2007/GCNCP-CNTTLK,28/05/2007
3,Điều chỉnh lần 2,Đăng ký bổ sung,2.497.359,24.973.590.000,127/2007/GCNCP-CNTTLK,07/12/2007
4,Điều chỉnh lần 3,Đăng ký bổ sung,999.481,9.994.810.000,24/2008/GCNCP-CNTTLK,04/03/2008
5,Điều chỉnh lần 4,Đăng ký bổ sung,3.662.686,36.626.860.000,51/2009/GCNCP-CNTTLK,29/07/2009
6,Điều chỉnh lần 5,Đăng ký bổ sung,9.940.642,99.406.420.000,33/2006/GCNCP-CNVSD-5,16/11/2010
7,Điều chỉnh lần 6,Đăng ký bổ sung,4.918.256,49.182.560.000,33/2006/GCNCP-CNVSD-6,09/01/2012
8,Điều chỉnh lần 7,Đăng ký bổ sung,12.487.600,124.876.000.000,33/2006/GCNCP-VSD-7,23/05/2017
9,Điều chỉnh lần 8,Đăng ký bổ sung,12.992.399,129.923.990.000,số 33/2006/GCNCP-VSD-8,17/09/2018
10,Điều chỉnh lần 9,Đăng ký bổ sung,5.996.331,59.963.310.000,số 33/2006/GCNCP-VSD-Lần 9,21/08/2019
Tổng cộng:,Tổng cộng:,Tổng cộng:,60.994.691,609.946.910.000,,
