STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,189.947.299,1.899.472.990.000,09/2006/GCNCP-CNTTLK,29/06/2006
2,Điều chỉnh lần 1,Đăng ký bổ sung,18.993.982,189.939.820.000,40/2006/GCNCP-CNTTLK,17/11/2006
3,Điều chỉnh lần 2,Đăng ký bổ sung,235.940.136,2.359.401.360.000,66/2007/GCNCP-CNTTLK,15/08/2007
4,Điều chỉnh lần 3,Đăng ký bổ sung,66.701.667,667.016.670.000,91/2008/GCNCP-CNTTLK,28/08/2008
5,Điều chỉnh lần 3,Đăng ký bổ sung,158.452.216,1.584.522.160.000,106/2009/GCNCP-CNVSD,27/11/2009
6,Điều chỉnh lần 4,Đăng ký bổ sung,247.887.713,2.478.877.130.000,09/2006/GCNCP-CNVSD-4,15/10/2010
7,Điều chỉnh lần 5,Đăng ký bổ sung,156.044.651,1.560.446.510.000,09/2006/GCNCP-VSD-5,28/11/2011
8,Điều chỉnh lần 6,Đăng ký bổ sung,136.324.897,1.363.248.970.000,09/2006/GCNCP-VSD-6,24/06/2013
9,Điều chỉnh lần 7,Đăng ký bổ sung,32.219.029,322.190.290.000,09/2006/GCNCP-VSD-7,24/07/2013
10,Điều chỉnh lần 8,Đăng ký bổ sung,242.704.126,2.427.041.260.000,09/2006/GCNCP-VSD-8,11/11/2015
11,Điều chỉnh lần 9,Đăng ký bổ sung,400.000.000,4.000.000.000.000,09/2006/GCNCP-VSD-9,12/11/2015
Tổng cộng:,Tổng cộng:,Tổng cộng:,1.885.215.716,18.852.157.160.000,,
