STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,300.000,30.000.000.000,35/2015/GCNTP-VSD,14/04/2015
2,Điều chỉnh lần 1,Đăng ký bổ sung,350.000,35.000.000.000,35/2015/GCNTP-VSD-1,22/05/2015
3,Điều chỉnh lần 2,Đăng ký bổ sung,400.000,40.000.000.000,35/2015/GCNTP-VSD-2,05/06/2015
4,Điều chỉnh lần 3,Đăng ký bổ sung,5.000.000,500.000.000.000,35/2015/GCNTP-VSD-3,12/06/2015
5,Điều chỉnh lần 4,Đăng ký bổ sung,2.750.000,275.000.000.000,35/2015/GCNTP-VSD-4,19/06/2015
6,Điều chỉnh lần 5,Đăng ký bổ sung,30.000.000,3.000.000.000.000,35/2015/GCNTP-VSD-5,03/07/2015
7,Điều chỉnh lần 6,Đăng ký bổ sung,17.865.789,1.786.578.900.000,35/2015/GCNTP-VSD-6,20/07/2015
8,Điều chỉnh lần 7,Đăng ký bổ sung,19.833.684,1.983.368.400.000,35/2015/GCNTP-VSD-7,30/07/2015
9,Điều chỉnh lần 8,Đăng ký bổ sung,15.300.000,1.530.000.000.000,35/2015/GCNTP-VSD-8,07/08/2015
Tổng cộng:,Tổng cộng:,Tổng cộng:,91.799.473,9.179.947.300.000,,
