STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,5.430.000,54.300.000.000,13/2007GCNCP-TTLK,13/11/2007
2,Điều chỉnh lần 1,Đăng ký bổ sung,3.257.550,32.575.500.000,13/2007GCNCP-VSD-1,07/06/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,4.773.775,47.737.750.000,13/2007/GCNCP-VSD-2,06/04/2011
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.346.090,13.460.900.000,13/2007/GCNCP-VSD-3,04/07/2014
5,Điều chỉnh lần 4,Đăng ký bổ sung,1.480.531,14.805.310.000,13/2007/GCNCP-VSD-4,12/01/2015
6,Điều chỉnh lần 5,Đăng ký bổ sung,5.654.623,56.546.230.000,13/2007/GCNCP-VSD-5,31/03/2015
7,Điều chỉnh lần 6,Đăng ký bổ sung,2.193.916,21.939.160.000,13/2007/GCNCP-VSD-6,10/12/2015
8,Điều chỉnh lần 7,Đăng ký bổ sung,5.485.642,54.856.420.000,số 13/2007/GCNCP-VSD-7,02/02/2016
9,Điều chỉnh lần 8,Đăng ký bổ sung,4.642.851,46.428.510.000,số 13/2007/GCNCP-VSD-8,11/10/2016
10,Điều chỉnh lần 9,Đăng ký bổ sung,6.852.313,68.523.130.000,13/2007/GCNCP-VSD-9,10/08/2017
11,Điều chỉnh lần 10,Đăng ký bổ sung,8.222.889,82.228.890.000,số 13/2007/GCNCP-VSD-10,23/07/2018
12,Điều chỉnh lần 11,Đăng ký bổ sung,2.467.009,24.670.090.000,số 13/2007/GCNCP-VSD-11,12/04/2019
13,Điều chỉnh lần 12,Đăng ký bổ sung,10.360.809,103.608.090.000,số 13/2007/GCNCP-VSD-12,09/07/2019
14,Điều chỉnh lần 13,Đăng ký bổ sung,3.043.478,30.434.780.000,số 13/2007/GCNCP-VSD-13,09/01/2020
15,Điều chỉnh lần 14,Đăng ký bổ sung,5.215.784,52.157.840.000,số 13/2007/GCNCP-VSD-14,04/08/2020
16,Điều chỉnh lần 15,Đăng ký bổ sung,3.568.745,35.687.450.000,số 13/2007/GCNCP-VSD-15,29/09/2020
17,Điều chỉnh lần 16,Đăng ký bổ sung,5.540.946,55.409.460.000,13/2007/GCNCP-VSD-16,07/09/2021
18,Điều chỉnh lần 17,Đăng ký bổ sung,6.361.828,63.618.280.000,13/2007/GCNCP-VSD-17,18/11/2021
19,Điều chỉnh lần 18,Đăng ký bổ sung,6.800.000,68.000.000.000,13/2007/GCNCP-VSD-18,30/12/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,92.698.779,926.987.790.000,,
