STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,43.000.000,430.000.000.000,Sô´ 74/2014/GCNCP-VSD,21/10/2014
2,Điều chỉnh lần 1,Đăng ký bổ sung,4.643.888,46.438.880.000,74/2014/GCNCP-VSD-1,03/09/2015
3,Điều chỉnh lần 2,Đăng ký bổ sung,4.356.618,43.566.180.000,số 74/2014/GCNCP-VSD-2,13/09/2016
4,Điều chỉnh lần 3,Đăng ký bổ sung,1.429.000,14.290.000.000,74/2014/GCNCP-VSD-3,30/12/2016
5,Điều chỉnh lần 4,Đăng ký bổ sung,4.441.535,44.415.350.000,74/2014/GCNCP-VSD-4,21/08/2017
6,Điều chỉnh lần 5,Đăng ký bổ sung,5.631.334,56.313.340.000,số 74/2014/GCNCP-VSD-5,06/09/2018
7,Điều chỉnh lần 6,Đăng ký bổ sung,14.922.325,149.223.250.000,số 74/2014/GCNCP-VSD-6,24/07/2019
8,Điều chỉnh lần 7,Đăng ký bổ sung,1.700.000,17.000.000.000,số 74/2014/GCNCP-VSD-7,02/10/2019
9,Điều chỉnh lần 8,Đăng ký bổ sung,10.000.000,100.000.000.000,số 74/2014/GCNCP-VSD-8,14/05/2020
10,Điều chỉnh lần 9,Đăng ký bổ sung,8.110.474,81.104.740.000,số 74/2014/GCNCP-VSD-9,08/12/2020
11,Điều chỉnh lần 10,Đăng ký bổ sung,8.840.010,88.400.100.000,74/2014/GCNCP-VSD-10,20/12/2021
Tổng cộng:,Tổng cộng:,Tổng cộng:,107.075.184,1.070.751.840.000,,
