STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,1.210.086.026,12.100.860.260.000,026/2009/GCNCP-CNTTLK,11/06/2009
2,Điều chỉnh lần 1,Đăng ký bổ sung,112.285.426,1.122.854.260.000,026/2009/GCNCP-VSD-1,05/10/2010
3,Điều chỉnh lần 2,Đăng ký bổ sung,436.382.579,4.363.825.790.000,26/2009/GCNCP-VSD-2,10/03/2011
4,Điều chỉnh lần 3,Đăng ký bổ sung,211.050.483,2.110.504.830.000,026/2009/GCNCP-VSD-3,06/09/2011
5,Điều chỉnh lần 4,Đăng ký bổ sung,347.612.562,3.476.125.620.000,026/2009/GCNCP-VSD-4,12/01/2012
6,Điều chỉnh lần 5,Đăng ký bổ sung,347.603.258,3.476.032.580.000,026/2009/GCNCP-VSD-5,23/07/2014
7,Điều chỉnh lần 6,Đăng ký bổ sung,932.748.241,9.327.482.410.000,số 026/2009/GCNCP-VSD-6,10/11/2016
8,Điều chỉnh lần 7,Đăng ký bổ sung,111.108.873,1.111.088.730.000,026/2009/GCNCP-VSD-7,17/01/2019
9,Điều chỉnh lần 8,Đăng ký bổ sung,1.023.639.123,10.236.391.230.000,026/2009/GCNCP-VSD-8,21/01/2022
Tổng cộng:,Tổng cộng:,Tổng cộng:,4.732.516.571,47.325.165.710.000,,
